"","variable","question"
"q11_8","q11_8","Q11. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it outside of your role as a police officer in the past 10 years. Someone breaking into your home while you were at home"
"q11_9","q11_9","Q11. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it outside of your role as a police officer in the past 10 years. Someone killing your family member or loved one"
"q11_10","q11_10","Q11. [multi-select] For each of the following, please (tell me / indicate) if you have personally experienced it outside of your role as a police officer in the past 10 years. None of the above"
"q12","q12","Q12. [single-select] For the questions you answered “Yes” to, how many separate incidents are you describing?"
"q13","q13","Q13. [single-select] Were you able to get help to recover from the impact these incidents had on your mental health, physical health, or finances?"
"q14","q14","Q14. [single-select] Has your department provided trauma-informed training on how to interact with or support victims of violent crime?"
"q15","q15","Q15. [single-select] To show that you are paying attention, please select ""All of the above""."
"q16","q16","Q16. [statement] The next two questions ask about your daily work as a police officer. Please think about your work over the past year."
"q17","q17","Q17. [matrix] Thinking about your experience, how frequently does your work involve: | Drug overdoses"
"q18","q18","Q18. [matrix] Thinking about your experience, how frequently does your work involve: | Suicide attempts"
"q19","q19","Q19. [matrix] Thinking about your experience, how frequently does your work involve: | People experiencing homelessness"
"q20","q20","Q20. [matrix] Thinking about your experience, how frequently does your work involve: | People experiencing mental health crises"
"q21","q21","Q21. [matrix] Thinking about your experience, how frequently does your work involve: | Paperwork"
"q22","q22","Q22. [matrix] Thinking about your experience, how frequently does your work involve: | Responding to a violent crime in progress"
"q23","q23","Q23. [matrix] Thinking about your experience, how frequently does your work involve: | Court appearances/testimony"
"q24","q24","Q24. [matrix] Thinking about your experience, how frequently does your work involve: | Traffic enforcement"
"q25","q25","Q25. [matrix] Thinking about your experience, how frequently does your work involve: | Responding to traffic collisions (including fatalities and DUIs)"
"q26","q26","Q26. [matrix] Thinking about your experience, how frequently does your work involve: | Serving warrants"
"q27","q27","Q27. [matrix] Thinking about your experience, how frequently does your work involve: | Responding to violent crimes that have already occurred"
"q28","q28","Q28. [matrix] Thinking about your experience, how frequently does your work involve: | Responding to property crimes in progress"
"q29","q29","Q29. [matrix] Thinking about your experience, how frequently does your work involve: | Welfare checks"
"q30_1","q30_1","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? Drug overdoses"
"q30_2","q30_2","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? Suicide attempts"
"q30_3","q30_3","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? People experiencing homelessness"
"q30_4","q30_4","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? People experiencing mental health crises"
"q30_5","q30_5","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? Paperwork"
"q30_6","q30_6","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? Responding to a violent crime in progress"
"q30_7","q30_7","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? Court appearances/testimony"
"q30_8","q30_8","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? Traffic enforcement"
"q30_9","q30_9","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? Responding to traffic collisions (including fatalities and DUIs)"
"q30_10","q30_10","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? Serving warrants"
"q30_11","q30_11","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? Responding to violent crimes that have already occurred"
"q30_12","q30_12","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? Responding to property crimes in progress"
"q30_13","q30_13","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? Welfare checks"
"q30_other","q30_other","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? Other (key in)"
"q30_other_text","q30_other_text","Q30. [multi-select] Which of the following activities do you feel take up too much of your time, limiting your ability to be where you’re needed most? Other (text)"
"q31","q31","Q31. [matrix] The following statements ask about police workloads. Please indicate how strongly you agree or disagree with the following statements. | Police departments are burdened with a wide range of social problems beyond crime."
"q32","q32","Q32. [matrix] The following statements ask about police workloads. Please indicate how strongly you agree or disagree with the following statements. | Individuals experiencing mental health crises often need interventions or services beyond what my depart"
"q33","q33","Q33. [matrix] The following statements ask about police workloads. Please indicate how strongly you agree or disagree with the following statements. | Individuals experiencing drug overdoses often need interventions or treatment beyond what my department"
"q34","q34","Q34. [matrix] The following statements ask about police workloads. Please indicate how strongly you agree or disagree with the following statements. | Individuals experiencing homelessness often need interventions or services other than what my department"
"q35","q35","Q35. [matrix] Some communities have implemented programs intended to assist law enforcement officers and reduce their workload. Please indicate how strongly you agree or disagree with the following statements. | Online reporting systems for low-level offe"
"q36","q36","Q36. [matrix] Some communities have implemented programs intended to assist law enforcement officers and reduce their workload. Please indicate how strongly you agree or disagree with the following statements. | Teams of trained mental health clinicians a"
"q37","q37","Q37. [matrix] Some communities have implemented programs intended to assist law enforcement officers and reduce their workload. Please indicate how strongly you agree or disagree with the following statements. | Sobering centers and/or crisis stabilizatio"
"q38","q38","Q38. [matrix] Some communities have implemented programs intended to assist law enforcement officers and reduce their workload. Please indicate how strongly you agree or disagree with the following statements. | Trained professionals responding to non-inj"
"q39","q39","Q39. [matrix] Some communities have implemented programs intended to assist law enforcement officers and reduce their workload. Please indicate how strongly you agree or disagree with the following statements. | Professional mental health workers trained"
"q40","q40","Q40. [matrix] Some communities have implemented programs intended to assist law enforcement officers and reduce their workload. Please indicate how strongly you agree or disagree with the following statements. | Community residents trained in street outre"
"q41_1","q41_1","Q41. [multi-select] Interviews with officers who have worked with mental health clinicians in responding to mental health crisis calls have identified the following benefits. Select all that seem beneficial to you. Clinicians have skills in crisis interve"
"q41_2","q41_2","Q41. [multi-select] Interviews with officers who have worked with mental health clinicians in responding to mental health crisis calls have identified the following benefits. Select all that seem beneficial to you. Clinicians are able to get on the scene"
"q41_3","q41_3","Q41. [multi-select] Interviews with officers who have worked with mental health clinicians in responding to mental health crisis calls have identified the following benefits. Select all that seem beneficial to you. Clinicians and police can share their ex"
"q41_4","q41_4","Q41. [multi-select] Interviews with officers who have worked with mental health clinicians in responding to mental health crisis calls have identified the following benefits. Select all that seem beneficial to you. Clinicians handle mental health aspects"
"q41_5","q41_5","Q41. [multi-select] Interviews with officers who have worked with mental health clinicians in responding to mental health crisis calls have identified the following benefits. Select all that seem beneficial to you. Clinicians can ensure people who need he"
"q41_6","q41_6","Q41. [multi-select] Interviews with officers who have worked with mental health clinicians in responding to mental health crisis calls have identified the following benefits. Select all that seem beneficial to you. None of these seems beneficial to me"
"q42_1","q42_1","Q42. [multi-select] Which of the following do you have experience working with while on duty? (Select all that apply) Trained mental health clinicians or social workers equipped with de-escalation techniques"
"q42_2","q42_2","Q42. [multi-select] Which of the following do you have experience working with while on duty? (Select all that apply) Trained professionals responding to non-injury traffic collisions"
"q42_3","q42_3","Q42. [multi-select] Which of the following do you have experience working with while on duty? (Select all that apply) Sobering centers and/or crisis stabilization centers for people experiencing overdoses"
"q42_4","q42_4","Q42. [multi-select] Which of the following do you have experience working with while on duty? (Select all that apply) Teams of trained mental health clinicians and medics responding to welfare checks and suicide threats"
"q42_5","q42_5","Q42. [multi-select] Which of the following do you have experience working with while on duty? (Select all that apply) Programs that employ residents trained in street outreach, mediating neighborhood conflicts and mentoring youth"
"q42_6","q42_6","Q42. [multi-select] Which of the following do you have experience working with while on duty? (Select all that apply) Online reporting systems"
"q43","q43","Q43. [statement] The next set of questions asks for your views on public safety policies."
"q44","q44","Q44. [single-select] What do you think is the most effective way to prevent people from committing repeat crimes?"
"q45","q45","Q45. [single-select] Do you prefer that governments invest more in"
"q46","q46","Q46. [single-select] When people commit crimes, which do you think is generally the best way to hold them accountable?"
"q47","q47","Q47. [single-select] Understanding you may agree with more than one, with which one of the following do you most agree?"
"q48","q48","Q48. [single-select] Which do you prefer?"
"q49","q49","Q49. [single-select] For people who have completed their sentences and remained crime-free, which do you prefer:"
"q50","q50","Q50. [single-select] For people in prison who are going to be released, do you prefer:"
"q51","q51","Q51. [single-select] If your city experienced a spike in violence, which would be most effective way to address it:"
"q52","q52","Q52. [single-select] Which of the following statements do you agree with the most:"
"q53","q53","Q53. [statement] The final seven questions ask basic information about you."
"q54","q54","Q54. [single-select] How would you describe the area you serve?"
"q55","q55","Q55. [single-select] Do you currently live in the same area where you work?"
"q56","q56","Q56. [single-select] Has a family or household member ever been incarcerated in a prison, jail, or detention center? Please include short stays in jail."
"q57","q57","Q57. [single-select] What is your gender?"
"q57_other_key_in","q57_other_key_in","Q57. [single-select] What is your gender? (other key in)"
"q58_1","q58_1","Q58. [multi-select] What is your race and/or ethnicity? Select all that apply American Indian or Alaska Native"
"q58_2","q58_2","Q58. [multi-select] What is your race and/or ethnicity? Select all that apply Asian"
"q58_3","q58_3","Q58. [multi-select] What is your race and/or ethnicity? Select all that apply Black or African American"
"q58_4","q58_4","Q58. [multi-select] What is your race and/or ethnicity? Select all that apply Hispanic or Latino"
"q58_5","q58_5","Q58. [multi-select] What is your race and/or ethnicity? Select all that apply Middle Eastern or North African"
"q58_6","q58_6","Q58. [multi-select] What is your race and/or ethnicity? Select all that apply Native Hawaiian or Pacific Islander"
"q58_7","q58_7","Q58. [multi-select] What is your race and/or ethnicity? Select all that apply White"
"q59","q59","Q59. [single-select] What is your age?"
"q60","q60","Q60. [single-select] What is your annual household income?"
"aid","aid","aid"
"score","score","score"
